title;km;price;features;car_location;car_city;url;image_link
Nissan Kicks 2018 #187833 ; 48500 KM ; Precio: $358999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '187833 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/nissan-kicks-exclusive-2018-compra-de-autos-187833;https://images.kavak.services/images/187833/EXTERIOR-frontSidePilotNear-1653414314297.jpeg?d=540x310
Kia Soul 2020 #187825 ; 59200 KM ; Precio: $300999;{' Tracción': '4x2', 'Transmisión': 'Manual', 'Stock ID': '187825 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/kia-soul-lx-2020-compra-de-autos-187825;https://images.kavak.services/images/187825/EXTERIOR-frontSidePilotNear-1653149151380.jpeg?d=540x310
Volkswagen Passat 2018 #187622 ; 59350 KM ; Precio: $388999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '187622 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/volkswagen-passat-v6-36l-2018-compra-de-autos-187622;https://images.kavak.services/images/187622/EXTERIOR-frontSidePilotNear-1652981537681.jpeg?d=540x310
Buick Encore 2019 #187394 ; 32800 KM ; Precio: $429999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '187394 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/buick-encore-premium-2019-compra-de-autos-187394;https://images.kavak.services/images/187394/EXTERIOR-frontSidePilotNear-1653146426381.jpeg?d=540x310
Mazda CX-5 2016 #187386 ; 82600 KM ; Precio: $332999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '187386 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/mazda-cx-5-s-grand-touring-2016-compra-de-autos-187386;https://images.kavak.services/images/187386/EXTERIOR-frontSidePilotNear-1653339084670.jpeg?d=540x310
Chevrolet Sonic 2017 #187371 ; 63800 KM ; Precio: $187999;{' Tracción': '4x2', 'Transmisión': 'Manual', 'Stock ID': '187371 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/chevrolet-sonic-lt-cambio-de-linea-2017-compra-de-autos-187371;https://images.kavak.services/images/187371/EXTERIOR-frontSidePilotNear-1653928396182.jpeg?d=540x310
Honda Odyssey 2018 #187265 ; 105300 KM ; Precio: $619999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '187265 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/honda-odyssey-exl-2018-compra-de-autos-187265;https://images.kavak.services/images/187265/EXTERIOR-frontSidePilotNear-1653407896917.jpeg?d=540x310
Nissan X Trail 2019 #187117 ; 40100 KM ; Precio: $468999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '187117 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/nissan-x-trail-exclusive-2019-compra-de-autos-187117;https://images.kavak.services/images/187117/EXTERIOR-frontSidePilotNear-1652801526594.jpeg?d=540x310
Chevrolet Onix 2021 #186927 ; 25700 KM ; Precio: $313999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '186927 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/chevrolet-onix-premier-l-2021-compra-de-autos-186927;https://images.kavak.services/images/186927/EXTERIOR-frontSidePilotNear-1653337473513.jpeg?d=540x310
Nissan NP300 Frontier 2018 #186907 ; 80300 KM ; Precio: $428999;{' Tracción': '4x2', 'Transmisión': 'Manual', 'Stock ID': '186907 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/nissan-np300-frontier-le-2018-compra-de-autos-186907;https://images.kavak.services/images/186907/EXTERIOR-frontSidePilotNear-1652280632506.jpeg?d=540x310
Audi Q5 Quattro 2015 #186823 ; 98000 KM ; Precio: $382999;{' Transmisión': 'Automática', 'Tracción': '4x4', 'Stock ID': '186823 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/audi-q5-quattro-elite-20t-2015-compra-de-autos-186823;https://images.kavak.services/images/186823/EXTERIOR-frontSidePilotNear-1653322948912.jpeg?d=540x310
Nissan Tiida 2017 #186817 ; 121700 KM ; Precio: $175999;{' Tracción': '4x2', 'Transmisión': 'Manual', 'Stock ID': '186817 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/nissan-tiida-sense-2017-compra-de-autos-186817;https://images.kavak.services/images/186817/EXTERIOR-frontSidePilotNear-1652458416465.jpeg?d=540x310
Nissan NP 300 2020 #186812 ; 26400 KM ; Precio: $425999;{' Transmisión': 'Manual', 'Tracción': '4x2', 'Stock ID': '186812 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/nissan-np-300-pick-up-doble-cabina-s-2020-compra-de-autos-186812;https://images.kavak.services/images/186812/EXTERIOR-frontSidePilotNear-1652475264615.jpeg?d=540x310
Hyundai Elantra 2018 #186556 ; 98400 KM ; Precio: $308999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '186556 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/hyundai-elantra-limited-tech-2018-compra-de-autos-186556;https://images.kavak.services/images/186556/EXTERIOR-frontSidePilotNear-1652215384421.jpeg?d=540x310
Toyota Avanza 2016 #186427 ; 102300 KM ; Precio: $202999;{' Transmisión': 'Manual', 'Tracción': '4x2', 'Stock ID': '186427 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/toyota-avanza-premium-2016-compra-de-autos-186427;https://images.kavak.services/images/186427/EXTERIOR-frontSidePilotNear-1653345967834.jpeg?d=540x310
Kia Forte 2018 #186385 ; 87100 KM ; Precio: $302999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '186385 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/kia-forte-sx-2018-compra-de-autos-186385;https://images.kavak.services/images/186385/EXTERIOR-frontSidePilotNear-1653057158756.jpeg?d=540x310
Chevrolet Aveo 2018 #186361 ; 75600 KM ; Precio: $183999;{' Transmisión': 'Manual', 'Tracción': '4x2', 'Stock ID': '186361 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/chevrolet-aveo-ls-linea-nueva-2018-compra-de-autos-186361;https://images.kavak.services/images/186361/EXTERIOR-frontSidePilotNear-1652887769323.jpeg?d=540x310
Kia Rio 2020 #186299 ; 50300 KM ; Precio: $241999;{' Tracción': '4x2', 'Transmisión': 'Manual', 'Stock ID': '186299 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/kia-rio-l-2020-compra-de-autos-186299;https://images.kavak.services/images/186299/EXTERIOR-frontSidePilotNear-1652113677550.jpeg?d=540x310
Dodge Grand Caravan 2019 #186208 ; 38200 KM ; Precio: $392999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '186208 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/dodge-grand-caravan-se-2019-compra-de-autos-186208;https://images.kavak.services/images/186208/EXTERIOR-frontSidePilotNear-1651765784472.jpeg?d=540x310
